artist,data-has-content,rank,song,year
Johnny Horton ,true ,1 ,The Battle Of New Orleans,1959
George Jones ,true ,2 ,White Lightning,1959
Jim Reeves ,true ,3 ,Home,1959
George Morgan ,true ,4 ,I'm In Love Again,1959
Ray Price ,true ,5 ,Heartaches By The Number,1959
Webb Pierce ,true ,6 ,A Thousand Miles Ago,1959
Frankie Miller ,true ,7 ,Black Land Farmer,1959
Skeeter Davis ,true ,8 ,Set Him Free,1959
Johnny Cash ,true ,9 ,Luther Played The Boogie,1959
Johnny Horton ,true ,10 ,When It's Springtime In Alaska (It's Forty Below),1959
Johnny Cash ,true ,11 ,Frankie's Man, Johnny,1959
Carl Belew ,true ,12 ,Am I That Easy To Forget,1959
Johnny Cash ,true ,14 ,You Dreamer You,1959
Johnny Cash ,true ,15 ,Thanks A Lot,1959
Margie ,true ,16 ,Poor Old Heartsick Me,1959
Ernest Tubb ,true ,17 ,I Cried A Tear,1959
Don Gibson ,true ,18 ,Lonesome Old House,1959
Wilma Lee &amp; Stoney Cooper ,false ,19 ,Big Midnight Special,1959
Johnny Cash ,true ,20 ,Don't Take Your Guns To Town,1959
Wilburn Brothers ,true ,21 ,Somebody's Back In Town,1959
Hank Thompson ,true ,22 ,Anybody's Girl,1959
Kitty Wells ,true ,23 ,Mommy For A Day,1959
Faron Young ,true ,24 ,That's The Way It's Gotta Be,1959
Wilma Lee &amp; Stoney Cooper ,true ,25 ,Come Walk With Me,1959
Rose Maddox ,true ,26 ,Gambler's Love,1959
Eddy Arnold ,true ,27 ,Chip Off The Old Block,1959
Jimmy Martin ,false ,28 ,Night,1959
James O'Gwynn ,true ,29 ,How Can I Think Of Tomorrow,1959
Bob Gallion ,true ,30 ,You Take The Table And I'll Take The Chairs,1959
Hank Locklin ,true ,1 ,Please Help Me, I'm Falling,1960
Jim Reeves ,true ,2 ,He'll Have To Go,1960
Don Gibson ,true ,3 ,Just One Time,1960
Ray Price ,true ,4 ,One More Time,1960
Buck Owens ,true ,5 ,Above And Beyond,1960
Stonewall Jackson ,true ,6 ,Why I'm Walkin',1960
Jeanne Black ,true ,7 ,He'll Have To Stay,1960
Roy Drusky ,true ,8 ,Another,1960
Marty Robbins ,true ,9 ,Big Iron,1960
Kitty Wells ,true ,10 ,Left To Right,1960
Johnny Horton ,true ,11 ,Sink The Bismark,1960
Faron Young ,true ,12 ,Your Old Used To Be,1960
Johnny Cash ,true ,13 ,Smiling Bill McCall,1960
Hank Thompson ,true ,14 ,A Six Pack To Go,1960
Marion Worth ,true ,15 ,That's My Kind Of Love,1960
Johnny Cash ,true ,16 ,Seasons Of My Heart,1960
The Stanley Brothers ,true ,17 ,How Far To Little Rock,1960
Lonnie Irving ,true ,18 ,Pinball Machine,1960
George Jones ,true ,19 ,Accidently On Purpose,1960
Ernest ,false ,20 ,Each Moment ('spent With You),1960
Skeeter Davis ,true ,21 ,Am I That Easy To Forget?,1960
Webb Pierce ,true ,22 ,Is It Wrong (For Loving You),1960
Claude Gray ,true ,23 ,Family Bible,1960
Webb Pierce ,true ,24 ,(Doin' The) Lovers Leap,1960
Frankie Miller ,true ,25 ,Baby Rocked Her Dolly,1960
Wynn Stewart ,false ,26 ,Wrong Company,1960
Elvis Presley ,false ,27 ,Stuck On You,1960
Sonny James ,true ,28 ,Jenny Lou,1960
Charlie ,true ,29 ,Who Will Buy The Wine,1960
Freddie Hart ,true ,30 ,The Key's In The Mailbox,1960
Faron Young ,true ,1 ,Hello Walls,1961
Buck Owens ,true ,2 ,Foolin' Around,1961
Patsy Cline/Jim Reeves ,true ,3 ,I Fall To Pieces,1961
Roy Drusky ,true ,4 ,Three Hearts In A Tangle,1961
Jim Reeves ,true ,5 ,The Blizzard,1961
George Jones ,true ,6 ,The Window Up Above,1961
Marty Robbins ,true ,7 ,Don't Worry,1961
Ray Price ,true ,8 ,Heart Over Mind,1961
Johnny Horton ,true ,9 ,Sleepy-Eyed John,1961
Claude Gray ,true ,10 ,I'll Just Have A Cup Of Coffee (Then I'll Go),1961
Skeeter Davis ,true ,11 ,The Hand You're Holding Now,1961
Buck Owens ,true ,12 ,Loose Talk,1961
Hank Snow ,true ,13 ,Beggar To A King,1961
Jimmy Newman ,true ,14 ,Everybody's Dying For Love,1961
Moon Mullican ,false ,15 ,Ragged But Right,1961
George Jones ,false ,16 ,Family Bible,1961
The Louvin Brothers ,true ,17 ,I Love You Best Of All,1961
Warren Smith ,true ,18 ,Odds And Ends (Bits And Pieces),1961
Porter Wagoner ,true ,19 ,Your Old Love Letters,1961
Ray Sanders ,true ,20 ,Lonelyville,1961
Webb Pierce ,true ,21 ,Let Forgiveness In,1961
Buck Owens ,true ,22 ,Mental Cruelty,1961
Ray Price ,true ,23 ,The Twenty-Fourth Hour,1961
Kitty Wells ,false ,24 ,Heartbreak U.S.A.,1961
Hank Thompson ,false ,25 ,Teach Me How To Lie,1961
Reno &amp; Smiley ,false ,26 ,Don't Let Your Sweet Love Die,1961
