,artist,rank,song,year,lyrics
0,Johnny Horton,1,The Battle Of New Orleans,1959,"

[Verse 1]
In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in a town near New Orleans

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 2]
We looked down a river
(Hut-two)
And we see'd the British come
(Three-four)
And there must have been a hundred of'em
(Hut-two)
Beatin' on the drums
(Three-four)
They stepped so high
(Hut-two)
And they made their bugles ring
(Three-four)
We stood beside our cotton bales
(Hut-two)
And didn't say a thing
(Two-three-four)

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 3]
Old Hickory said we could take 'em by surprise
(One-hut, two-three-four)
If we didn't fire our muskets
(One-hut, two-three-four)
'Till we looked 'em in the eye
(One-hut, two-three-four)
We held our fire
(Hut, two-three-four)
'Till we see their faces well
Then we opened up our squirrel guns
And really gave 'em - well we

[Chorus]
Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars
(One-hup-two)
And they ran through the brambles
(Hup-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico
(One-two, hup-two-three-four)

[Verse 5]
We fired our cannon 'til the barrel melted down
So we grabbed an alligator and we fired another round
We filled his head with cannon balls, and powdered his behind
And when we touched the powder off the gator lost his mind

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars
(Hup-one-two)
And they ran through the brambles
(One-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico

"
1,George Jones,2,White Lightning,1959,"

Well, in North Carolina, way back in the hills
Me and my old pappy and he had him a still
We brewed white lightnin' 'til the sun went down
Then he'd fill him a jug and he'd pass it around
Mighty, mighty pleasin, pappy's corn squeezin'
Whshhhoooh... white lightnin'

Well, the G men, T men, revenuers, too
Searchin' for the place where he made his brew
They were looking, tryin to book him
But my pappy kept a-cookin'
Whshhhoooh... white lightnin'

Well, I asked my old pappy why he called his brew
White lightnin' 'stead of mountain dew
I took a little sip and right away I knew
As my eyes bugged out and my face turned blue
Lightnin' started flashin' and thunder started crashin'
Shhhoooh... white lightnin'

Well, the G men, T men, revenuers, too
Searchin' for the place where he made his brew
They were looking, tryin to book him
But my pappy kept a-cookin'
Whshhhoooh... white lightnin'

Well, a city slicker came and he said I'm tough
I think I wanna taste that powerful stuff
He took one s-slug and drank it right down
And I heard him a moaning as he hit the ground
Mighty, mighty pleasin, pappy's corn squeezin'
Whshhhoooh... white lightnin'

Well, the G men, T men, revenuers, too
Searchin' for the place where he made his brew
They were looking, tryin to book him
But my pappy kept a-cookin'
Whshhhoooh... white lightnin'...

"
2,Jim Reeves,3,Home,1959,"

Well, I've been a traveler most of my life
Never took a home, never took a wife
Ran away young and decided to roam
Wanna see my mama and my daddy back home

CHORUS:
Home, where the river runs cold
The water tastes good, the winters ain't cold
Home, where the trees grow tall
The home fires burn, the whippoorwills call

I remember stories that my daddy used to tell
My eyes would get big, and his chest would swell
I could sit for hours and listen with glee
As he'd tell of how he lived when he's a boy like me

REPEAT CHORUS

Well, mama dear, mama do you still love your boy
After all my roamin' can I still bring you joy
Mom sent a letter, got it not long ago
She said ""come home, I'm missin' you so

"
3,George Morgan,4,I'm In Love Again,1959,"

Not so long ago I had my poor heart broken
I said crazy heart see what a fool you've been
Now I've met you and although we've barely spoken
I hear wedding bells and I'm in love again

I'm in love again and wedding bells are ringing
I'm so happy I'm afraid this dream might end
Live each day as though the last my heart keeps singing
I hear wedding bells and I'm in love again

[Instrumental Break]

When she left me I was sure my world had ended
And I couldn't even speak to our friends
And then just as my poor heart was getting mended
I hear wedding bells and I'm in love again

I'm in love again and wedding bells are ringing
I'm so happy I'm afraid this dream might end
Live each day as though the last my heart keeps singing
I hear wedding bells and I'm in love again

"
4,Ray Price,5,Heartaches By The Number,1959,"

Heartache number one was when you left me
I never knew that I could hurt this way
And heartache number two was when you came back again
You came back and never meant to stay

Now I've got heartaches by the number, troubles by the score
Every day you love me less
Each day I love you more

Yes, I've got heartaches by the number, a love that I can't win
But the day that I'll stop counting
That's the day my world would end

Heartache number three was when you called me
And said that you were coming back to stay
With hopeful heart I waited for your knock on the door
I waited, but you must have lost your way

Now I've got heartaches by the number
And the day that I'll stop counting
That's the day my world will end

"
5,Webb Pierce,6,A Thousand Miles Ago,1959,"

There's a thousand miles in back of me and many more to go
Ridin' on a freight train feeling mighty low
I keep-a wonderin' why she quit me but I guess I'll never know
Yeah she used to be my baby a thousand miles ago

A thousand miles ago I started feelin' bad
'Cause I just lost the future I thought I really had
I know I shouldn't feel this way but I still love her so
I can't keep from thinkin' about a thousand miles ago

I know I've held her in my arms a thousand times or more
Promised her a world of love 'til I learned the score
That's why I'm feeling lonesome, that's why I'm feeling low
Yeah she used to be my baby a thousand miles ago

A thousand miles ago I started feelin' bad
'Cause I just lost the future I thought I really had
I know I shouldn't feel this way but I still love her so
I can't keep from thinkin' about a thousand miles ago

"
6,Frankie Miller,7,Black Land Farmer,1959,"

[Intro]
Giddy-up, here, boy

[Verse 1]
When the Lord made me, he made a simple man
Not much money and not much land
He didn't make me no banker or legal charmer
When the Lord made me he made a Blackland farmer

[Verse 2]
Well my hands ain't smooth, my face is rough
But my heart is warm and my ways ain't tough
I guess I'm the luckiest man ever born
'Cause the Lord gave me health and a Blackland farm

[Verse 3]
Breakin' up the new ground early in the day
Gonna plant cotton, I'm gonna plant hay
I love the smell of sweet breeze blowin' through the corn
Lord you sure done me right by my Blackland farm

[Vers3 4]
I feel like I'm a-gettin' closer to you, God
A plow in the ground and a-breakin' up the sod
Well, my mind is at ease and I could do no harm
Lord, I owe it all to you and my Blackland farm

"
7,Skeeter Davis,8,Set Him Free,1959,"

Set him free
Set him free
For I love him, you see

Order in the court
You swear to tell the truth
The whole truth
And nothing but the truth
So help you God
Yes, I do

Judge, I've never believed in divorces
Unless they just have to be
But after you've heard my story
Then I know you'll set this man free

It began right after the wedding
She cheated and she lied
Right from the start
And I could see from the way they were headed
This woman would soon break his heart

Set him free
Set him free
For I love him, you see

The three of us were always best of friends
But when I leave this courtroom, judge
I know our friendship ends
If you could have heard the awful things I've heard her say
While she called him names and slapped his face
And he'd just turn away

And the nights we went out for fun
It was also plain to see then
She danced all night with someone else
And leaved him there with me

Set him free
Set him free
For I love him, you see

Now I ask you, judge to understand
Think it over slowly
You see
I fell in love with
And I dont care who knows
I respect him as a husband
And I treat him like a man
I know I could help him find more happiness than this woman ever can

Well, Judge, you've heard my story
It's as true as true can be
I've even told you that I love him
So Judge, won't you please set him free?

Set him free
Set him free
For I love him, you see

"
8,Johnny Cash,9,Luther Played The Boogie,1959,"

[Verse: Johnny Cash]
We were just a plain ol' hillbilly band
With a plain ol' country style
We never played the kind of songs
That'd drive anybody wild
Played a railroad song with a stomping beat
We played a blues song kinda slow and sweet
But the thing that knocked them off of their feet was
Ooh-wee

[Chorus: Johnny Cash]
When Luther played the boogie-woogie
Luther played the boogie-woogie
Luther played the boogie-woogie
Luther played the boogie-woogie
Luther played the boogie woogie
Luther played the boogie-woogie
Luther played the boogie-woogie
Luther played the boogie
In the strangest kind of way
Play it strange!

Well, we did our best to entertain
Everywhere we'd go
We'd nearly wear our fingers off
To give the folks a show
Played jumping jive to make them get in the groove
We played sad songs, real slow and smooth
But the only thing that'd make them move was
Ooh-wee

[Chorus]

[Outro]
Now, didn't Luther play the boogie strange?

"
9,Johnny Horton,10,When It's Springtime In Alaska (It's Forty Below),1959,"

I mushed from Port Barren through a blizzard of snow
Been out prospecting for two years or so
Pulled into Fairbanks the city was a boon
So I took a little stroll to the Red Dog Saloon
As I walked in the door the music was clear
The prettiest voice I had heard in two years
The song she was singin' made a man's blood run cold
When it's springtime in Alaska it's forty below
(When it's springtime in Alaska it's forty below)

It was red headed Lil who was singin' so sweet
I reached down and took the snowpacks off my feet
I reached for the gal who was singin' the tune
We did the Escimo hop all around the saloon
Where the cariboo crawl and the grizzly bear hug we did our dance on a Kodiac rug
The song she kept singing made a man's blood run cold
When it's springtime in Alaska it's forty below
[ banjo ]
I was as innocent as I could be I didn't know Lil was big Ed's wife to be
He took out his knife and he gave it a throw
When it's springtime in Alaska I'll be six feet below
(When it's springtime in Alaska he'll be six feet below)

"
